"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 19 23:11:59 GMT 2022","Mon Dec 19 23:12:03 GMT 2022","4491","","Google:","","Google:","Поиск на главной страницы Google","Поиск на главной страницы Google",""
"passed","Mon Dec 19 23:12:03 GMT 2022","Mon Dec 19 23:12:11 GMT 2022","7577","","Google:","","Google:","Дудл Google","Дудл Google",""
