"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 02 23:08:36 GMT 2023","Mon Jan 02 23:08:40 GMT 2023","4411","","Google:","","Google:","Поиск на главной страницы Google","Поиск на главной страницы Google",""
"passed","Mon Jan 02 23:08:40 GMT 2023","Mon Jan 02 23:08:43 GMT 2023","3034","","Google:","","Google:","Дудл Google","Дудл Google",""
